word;repetition
de;3718
do;1248
da;1059
pela;742
ou;740
nº;677
emenda;676
constitucional;674
os;629
dos;604
em;568
com;557
que;519
lei;482
no;457
as;416
para;413
art;404
federal;377
na;355
por;344
parágrafo;342
se;310
ao;309
redação;297
dada;296
inciso;275
acrescido;275
ii;265
das;239
não;227
nos;226
nacional;198
iii;193
união;186
pelo;185
aos;184
público;184
sobre;184
estado;174
tribunal;170
sua;167
forma;162
estados;158
distrito;156
municípios;147
presidente;145
será;139
artigo;136
república;135
iv;130
poder;130
seus;124
qualquer;118
justiça;111
um;110
social;109
anos;105
serão;104
como;96
serviços;96
exercício;95
nas;91
ser;91
congresso;91
membros;91
tribunais;91
trabalho;90
disposto;90
recursos;89
único;88
constituição;86
alínea;85
pública;84
até;83
mediante;82
às;81
suas;80
públicos;80
direitos;78
mais;78
cinco;77
ministério;77
termos;76
vi;75
cento;74
defesa;73
poderá;73
sem;72
deputados;70
bem;69
entre;69
dois;67
complementar;67
vii;66
direito;65
são;65
competência;65
regime;64
caput;64
caso;63
geral;63
quando;62
habitantes;62
órgãos;60
superior;60
cargo;60
administração;60
execução;60
seção;60
dias;59
mil;58
seu;57
juízes;57
senado;56
poderão;55
supremo;55
prazo;53
cada;53
conselho;53
entidades;52
casos;52
orçamentária;52
previdência;51
organização;50
deste;50
câmara;50
acrescida;50
condições;48
cargos;48
salvo;47
atividades;47
contra;47
viii;46
bens;46
após;46
contas;46
federais;46
seguintes;45
dentre;45
mandato;45
pelos;44
vedada;44
públicas;44
valor;44
data;44
territórios;44
dou;44
desenvolvimento;43
ordem;43
regionais;43
natureza;43
serviço;43
trinta;43
ensino;43
imposto;43
ações;42
saúde;42
remuneração;42
contribuição;42
ministros;42
uma;41
vinte;41
sistema;41
demais;41
atividade;40
xi;40
previstos;40
funções;40
direta;40
compete;40
todos;39
sendo;39
atos;39
concessão;38
capítulo;38
inclusive;38
outros;38
ato;38
disporá;38
limites;38
trata;38
pessoa;37
criação;37
processo;37
previstas;37
for;37
normas;37
efeitos;37
diretrizes;37
subsídio;37
vereadores;37
desta;36
militares;36
tempo;36
lhe;36
educação;36
respectiva;36
servidores;36
maioria;36
meio;35
executivo;35
assegurada;35
militar;35
observado;35
estadual;35
operações;35
