presidente;('república', 0.9923714399337769);('vice', 0.9643709063529968);('procurador', 0.9616953730583191);('pelo', 0.9499187469482422);('conselho', 0.9485869407653809);('nomeados', 0.9370595812797546);('brasil', 0.9347614049911499);('maioria', 0.9317758083343506);('mesa', 0.9314243197441101);('absoluta', 0.9255513548851013)
vereadores;('corresponderá', 0.9860305786132812);('cem', 0.9812685251235962);('um', 0.9580219984054565);('cento', 0.9524698257446289);('população', 0.9489932060241699);('dezessete', 0.940990149974823);('vinte', 0.9392557740211487);('quinhentos', 0.9360889196395874);('seiscentos', 0.935859203338623);('mais', 0.9355152249336243)
deputados;('câmara', 0.9860507249832153);('distribuídos', 0.9649251103401184);('ministros', 0.9608187675476074);('senado', 0.9577599167823792);('mensal', 0.9444897174835205);('terço', 0.934366762638092);('governadores', 0.9268847703933716);('governador', 0.9212422966957092);('federal', 0.9126169681549072);('juízes', 0.9124060273170471)
homem;('professor', 0.9924983978271484);('antiguidade', 0.9904362559318542);('jurídico', 0.9898154735565186);('suplente', 0.9895530939102173);('comprove', 0.9875596165657043);('pré', 0.9871612787246704);('mulher', 0.9868398308753967);('considerando', 0.9867527484893799);('últimos', 0.9861313700675964);('consecutivos', 0.9859455823898315)
mulher;('fundada', 0.996209979057312);('pré', 0.9958024024963379);('ultrapasse', 0.9952171444892883);('idoso', 0.9946872591972351);('antiguidade', 0.9942849278450012);('conjunta', 0.9939700365066528);('suplente', 0.9933699369430542);('posto', 0.993028998374939);('ininterruptos', 0.992956817150116);('sexo', 0.9928351044654846)
criança;('entorpecentes', 0.9987119436264038);('drogas', 0.9986323118209839);('jovem', 0.9978848099708557);('insuscetíveis', 0.9977438449859619);('marítima', 0.9975570440292358);('adolescente', 0.997353196144104);('comercial', 0.9973298907279968);('estatal', 0.9973195791244507);('cronológica', 0.9971535801887512);('convenção', 0.9971390962600708)
petróleo;('álcool', 0.9980830550193787);('estabelecimento', 0.9980700612068176);('enriquecimento', 0.9977235198020935);('aplicáveis', 0.9976330399513245);('comercialização', 0.9975087642669678);('básicos', 0.9973397850990295);('didático', 0.997317373752594);('extensão', 0.9972529411315918);('especializado', 0.997184157371521);('curso', 0.997148871421814)
gás;('atender', 0.9977832436561584);('físicas', 0.9972450137138367);('programas', 0.9972422122955322);('comercialização', 0.9972142577171326);('reprodução', 0.9968423247337341);('culturais', 0.9968210458755493);('espécies', 0.9962700605392456);('vigilância', 0.9961035251617432);('praias', 0.9960141181945801);('excedam', 0.9960002899169922)
minerais;('hídricos', 0.9988378882408142);('privados', 0.9976856708526611);('prestação', 0.9971237778663635);('industriais', 0.9964954853057861);('débitos', 0.9962125420570374);('elétrica', 0.9960569143295288);('lavra', 0.995444118976593);('aproveitamento', 0.9953916668891907);('derivados', 0.9953248500823975);('escolas', 0.9947892427444458)
crimes;('processar', 0.994206964969635);('contas', 0.9877385497093201);('julgar', 0.9874898195266724);('militar', 0.9865742921829224);('hierarquia', 0.9861628413200378);('judiciária', 0.98595130443573);('compete', 0.9853838086128235);('patentes', 0.9805223941802979);('criará', 0.9798359870910645);('âmbito', 0.9782652258872986)
jurisdição;('respectivo', 0.9732756614685059);('mercado', 0.9697444438934326);('juizados', 0.9671562314033508);('jurisdicionado', 0.9627479910850525);('funcionarão', 0.959423840045929);('itinerante', 0.9531152844429016);('ente', 0.9489724636077881);('destinatário', 0.9480789303779602);('aeronáutica', 0.9466549158096313);('sede', 0.9465104341506958)
